name,power_state,guest_os,os_category,ip_address,hostname,vcenter_path,vcenter_url,datacenter,cpus,memory_gb,VI.ENV,VI.LANDSCAPE,VI.OWNER,VI.PURPOSE,VI.TIER,App_Name,Description,Owner,deployment,cmdb_uuid,tags
ad-jenkins-01,poweredOn,CentOS 6 (64-bit),linux,10.6.37.82,ad-jenkins-01.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-01,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-72e5ca3f-a91b-5061-82b2-dfbd70083232,
ad-jenkins-02,poweredOn,CentOS 6 (64-bit),linux,10.6.25.22,ad-jenkins-02.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-02,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-9d223896-8c2d-5ae7-83b0-aff1f4d8bc79,
ad-jenkins-03,poweredOn,CentOS 6 (64-bit),linux,10.6.25.162,ad-jenkins-03.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-03,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-156bd243-41d9-5240-82a0-de886629b39f,
ad-jenkins-04,poweredOn,CentOS 6 (64-bit),linux,10.6.25.102,ad-jenkins-04.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-04,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-2a103103-67e0-52a5-badc-561688a45562,
ad-jenkins-05,poweredOn,CentOS 6 (64-bit),linux,10.6.25.147,ad-jenkins-05.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-05,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-ebdd7ab3-9273-551d-9186-8f20dd34e281,
ad-jenkins-06,poweredOn,CentOS 6 (64-bit),linux,10.6.36.141,ad-jenkins-06.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-06,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,1.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-dd116c7d-4e0f-55ad-b73e-df5890d3e77b,
ad-jenkins-11,poweredOn,CentOS 6 (64-bit),linux,10.6.25.109,ad-jenkins-11.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-11,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-b821d5f9-7ceb-55ce-be6d-abf3b0460cd9,
ad-jenkins-12,poweredOn,CentOS 6 (64-bit),linux,10.6.25.146,ad-jenkins-12.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-12,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-69988910-d572-52b7-af4b-52a3c6793b21,
ad-jenkins-13,poweredOn,CentOS 6 (64-bit),linux,10.6.36.70,ad-jenkins-13.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-13,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-cf8f7682-ff7b-5e2e-a6c0-1a3a3c682cd7,
ad-jenkins-21,poweredOn,CentOS 6 (64-bit),linux,10.6.25.100,ad-jenkins-21.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-21,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-943967cc-c0c1-5418-a1c1-56f97621c145,
ad-jenkins-22,poweredOn,CentOS 4/5 (64-bit),linux,10.6.39.217,ad-jenkins-22.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-22,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-c4c1b23a-8e41-5de9-853d-0b7be9e41b85,
ad-jenkins-23,poweredOn,CentOS 6 (64-bit),linux,10.6.25.76,ad-jenkins-23.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-23,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-06e289e2-6a68-5fb8-98de-453fb1843d3c,
ad-jenkins-25,poweredOn,CentOS 6 (64-bit),linux,10.6.25.79,ad-jenkins-25.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-25,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-062e4f81-1567-544f-a20b-46c5020fb783,
ad-jenkins-53,poweredOn,CentOS 4/5 (64-bit),linux,10.6.25.46,ad-jenkins-53.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-53,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-4abb0039-164c-5283-80b7-7b5d45f79d87,
ad-jenkins-master,poweredOn,Oracle Linux 7 (64-bit),linux,10.6.36.53,ad-jenkins-master.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Jenkins/ad-jenkins-master,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,8.0,DEV,Jenkins,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-a6da0b82-1882-56b6-a3d6-3ae80e1c2a31,
ad-scm,poweredOn,CentOS 6 (64-bit),linux,10.6.24.133,ad-scm.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/ad-scm,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Adsvc,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-6c13fb9c-2f7b-5416-b23f-e9ff40e1b1e8,
ad-tpkg-repo,poweredOn,CentOS 6 (64-bit),linux,10.6.25.59,ad-tpkg-repo.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/ad-tpkg-repo,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Adsvc,James Martin,TPKG,Non-Production,,,,,vmw-vm-ae1bc38a-cfe9-58c8-b3b1-acf18999d72b,
admintool2,poweredOn,CentOS 6 (64-bit),linux,10.6.38.83,admintool2.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Sre_tools/admintool2,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,PROD,SRE Tools,James Martin,Admin Tool,Production,,,,,vmw-vm-d492444c-37c4-506e-8891-1e9e9ef30a4c,
adqa-dev,poweredOn,CentOS 6 (64-bit),linux,10.6.37.247,adqa-dev.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/adqa-dev,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Adsvc,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-1e560bb9-c4e1-545f-a577-9a4f8935674d,
adqa-dev2,poweredOn,CentOS 6 (32-bit),linux,10.6.25.70,adqa-dev2.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/adqa-dev2,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,4.0,DEV,Adsvc,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-d6e6ac22-d8bd-5a85-ae2c-de0f39ce0daa,
adsvc-db1,poweredOn,Red Hat Enterprise Linux 5 (64-bit),linux,10.6.38.151,adsvc-db1.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/adsvc-db1,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,16.0,DEV,ADSVC,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-c6cc4ed9-2554-5d9c-9fb3-07fcafae0847,
adsvc-fe1,poweredOn,CentOS 4/5 (64-bit),linux,10.6.37.38,adsvc-fe1.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/adsvc-fe1,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,31.4,DEV,ADSVC,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-d04a1b31-511c-5ac2-83cf-55e107be0a7d,
adsvc-scm,poweredOn,CentOS 4/5 (64-bit),linux,10.6.24.135,adsvc-scm.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Consumer_search/Adsvc/adsvc-scm,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,31.4,DEV,ADSVC,Wei Du,Consumer Search,Non-Production,,,,,vmw-vm-abf0c07c-09f6-51de-919b-fb0f46ce6ce1,
afbatch01,poweredOn,CentOS 4/5 (64-bit),linux,10.6.32.197,afbatch01.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afbatch01,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,8,4.0,PROD,Afrontier Batch ,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-11b21520-0379-5345-a1f5-1ff1b1d8468c,
afbatch02,poweredOn,CentOS 4/5 (64-bit),linux,10.6.34.18,afbatch02.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afbatch02,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,8,4.0,PROD,Afrontier Batch ,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-e2c5732a-d825-5ef8-a38d-e4fb523d400c,
afdb1,poweredOn,Oracle Linux 8 (64-bit),linux,10.6.32.167,afdb1.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/DB/Oracle/Prod/afdb1,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,10,128.0,PROD,Afrontier: iypprd,Shakir Mustafa,Oracle DB,Production,,,,,vmw-vm-9c96d62e-f55b-5452-9211-630a17ab86ef,
afprod1,poweredOn,CentOS 4/5 (64-bit),linux,10.6.32.88,afprod1.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afprod1,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,6.0,PROD,Afrontier,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-31267b0f-b5a4-5124-9122-27b477eb4aa9,
afprod2,poweredOn,Red Hat Enterprise Linux 5 (64-bit),linux,10.6.34.140,afprod2.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afprod2,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,5.8,PROD,Afrontier,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-fdb40cf7-031a-58af-894b-7e707158531e,
afprod3,poweredOn,Red Hat Enterprise Linux 5 (64-bit),linux,10.6.32.64,afprod3.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afprod3,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,6.0,PROD,Afrontier,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-91e10b54-f00e-55f9-a4e2-25734b4a4826,
afprod4,poweredOn,Red Hat Enterprise Linux 5 (64-bit),linux,10.6.32.135,afprod4.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afprod4,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,6.0,PROD,Afrontier,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-f45eb76a-5f3a-5304-8752-015c26fb1aa6,
afprod5,poweredOn,Red Hat Enterprise Linux 5 (64-bit),linux,10.6.32.207,afprod5.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afprod5,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,5.8,PROD,Afrontier,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-1354cf22-4f49-5e44-9234-dfc2edff778e,
afprod6,poweredOn,Red Hat Enterprise Linux 5 (64-bit),linux,10.6.35.53,afprod6.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afprod6,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,5.8,PROD,Afrontier,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-dba00815-cc0c-575a-9327-e77a0e4710a8,
afreports01,poweredOn,CentOS 4/5 (64-bit),linux,10.6.35.254,afreports01.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afreports01,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,8,3.8,PROD,Afrontier Reports,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-fcfb2338-1af5-577b-b624-a437806ba940,
afweb01,poweredOn,CentOS 4/5 (64-bit),linux,10.6.33.246,afweb01.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afweb01,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,8,4.0,PROD,Afrontier Front End,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-aee8f72b-d7ec-56f9-9e7d-2f36c53fe0a7,
afweb02,poweredOn,CentOS 4/5 (64-bit),linux,10.6.34.251,afweb02.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afweb02,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,8,4.0,PROD,Afrontier Front End,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-c2f8442a-03fc-5cf1-9f7c-3a91e091b869,
afweb03,poweredOn,CentOS 4/5 (64-bit),linux,10.6.32.186,afweb03.prod.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/APP/Afrontier/Prod/afweb03,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,8,3.8,PROD,Afrontier Front End,Pemba Tsering Sherpa,Afrontier,Production,,,,,vmw-vm-e77f41e2-faa3-57f0-914b-604fff9130c0,
ampsql,poweredOn,CentOS 4/5 (64-bit),linux,10.6.39.28,ampsql.np.st1.yellowpages.com,/PHX1-THRYV-DC/vm/LINUX_SERVERS/DB/Mysql/Non_prod/ampsql,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,2,16.0,POC,SQL POC DB,Andre Mirzoyan,Mysql DB,Non-Production,,,,,vmw-vm-0127c795-c6bd-52fc-ae6a-bc97215d48e3,
apfea02p,poweredOn,Red Hat Enterprise Linux 5 (64-bit),linux,,,/PHX1-THRYV-DC/vm/LINUX_SERVERS/AUS_APF/apfea02p,https://phx1-thryv-vcsa01.expedient.com,/PHX1-THRYV-DC,1,2.0,PROD,AUS APF,Tammy Strawderman,APF,Production,,,,,vmw-vm-86f77b36-5637-5762-a00e-a5eaa2d7216a,
